Epoch,Train_Loss,Val_Accuracy,EMA_Val_Accuracy,Time(s)
1,4.541868007202148,7.380000003051758,0.8999999992370605,45.04659461975098
2,4.377858087158203,10.550000007629395,0.8799999994277954,44.627973318099976
3,4.263213314361573,13.660000003051758,0.8299999994277955,44.6531298160553
4,4.189798177947998,17.419999978637694,0.7999999994277954,46.47193646430969
5,4.097506413269043,18.69999998474121,0.8299999994277955,43.84494590759277
6,3.9714574896240236,22.530000021362305,0.8599999996185302,43.62187695503235
7,3.9396429079437256,24.999999996948244,0.9299999996185303,43.72454023361206
8,3.8981054296875,26.830000018310546,0.8799999998092651,43.40641951560974
9,3.824570474090576,28.319999990844728,0.9199999998092652,43.735469341278076
10,3.7598493041229246,29.919999981689454,0.8899999996185303,43.436304569244385
11,3.654842303314209,33.170000018310546,0.9199999996185303,43.64952111244202
12,3.790705051803589,32.240000012207034,0.9499999996185303,43.563024044036865
13,3.696627213745117,34.52999999389648,1.1099999996185304,43.42461633682251
14,3.7038901567840576,33.91000003662109,1.4599999996185302,43.42981314659119
15,3.574934863052368,37.119999987792966,1.7899999994277953,43.442909955978394
16,3.5582181717681887,37.64000001220703,1.9799999990463257,43.772462129592896
17,3.478404230957031,40.57999995727539,1.8699999994277954,43.62433052062988
18,3.42445758102417,42.930000036621095,1.9199999994277954,43.359206676483154
19,3.3043239171600343,44.87999996337891,1.9299999992370604,43.43387174606323
20,3.506560312805176,43.850000018310546,1.9599999992370605,43.47643065452576
21,3.38464085899353,46.39000005493164,2.0099999992370607,43.49456858634949
22,3.229602841644287,48.30000003662109,2.0799999992370606,43.3296160697937
23,3.295590288543701,45.66000003051758,2.1599999992370607,43.16859006881714
24,3.1778717646026613,48.91000001220703,2.2199999992370607,43.60848808288574
25,3.232764695892334,48.12999998779297,2.2999999992370603,43.428210973739624
26,3.21831886680603,50.130000006103515,2.4199999992370604,43.44567322731018
27,3.164336343078613,53.68999996337891,2.5599999992370606,43.47932577133179
28,3.1104402938842775,50.640000036621096,2.6799999992370607,43.403252363204956
